STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,ADJUSTMENT,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,BASE_PER,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q4,,-2.221282317,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2020-Q4,,2.476489871,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2020-Q4,,1.311766856,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P6,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2021-Q1,,5.750266348,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P51G,,_Z,,_T,,_Z,,PC,,L,,GCM,,T0102,,2021-Q1,,5.182724204,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1,,S1,,P7,,_Z,,_Z,,_Z,,PC,,L,,GCM,,T0102,,2021-Q1,,3.716506905,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2021-Q1,,-5.058549336,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2021-Q1,,3.946668921,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S13,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2021-Q2,,7.865796091,,2019-Q4,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),,I,Q,,Y,,KOR,,S1M,,S1,,P3,,_Z,,_Z,,_T,,PC,,L,,GCM,,T0102,,2021-Q2,,-2.324978247,,2019-Q4,,,,F,,1,,A,,0,,_Z,
