system:index,NTL_Post_W0,NTL_Post_W1,NTL_Post_W10,NTL_Post_W11,NTL_Post_W12,NTL_Post_W13,NTL_Post_W2,NTL_Post_W3,NTL_Post_W4,NTL_Post_W5,NTL_Post_W6,NTL_Post_W7,NTL_Post_W8,NTL_Post_W9,NTL_Pre_W1,NTL_Pre_W2,NTL_Pre_W3,date,location_name,magnitude,.geo
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015-11-24,"185 km WNW of Iñapari, Peru",7.6,"{""type"":""Point"",""coordinates"":[-71.0184,-10.0598]}"
1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2015-11-24,"155 km WNW of Iñapari, Peru",7.6,"{""type"":""Point"",""coordinates"":[-70.94370000000002,-10.5372]}"
2,0.702174762713419,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.4598861413255829,0.29835192542704175,0.29544087132026087,2015-10-26,"Hindu Kush region, Afghanistan",7.5,"{""type"":""Point"",""coordinates"":[70.3676,36.52440000000001]}"
3,0.13512596111085892,0.2797789887510478,-999,-999,-999,-999,0.1094935584171481,0.15187438178738916,0.23221714044119765,0.2536960962680636,0.09368065895686065,-999,-999,-999,0.15347729173727337,56.49915580308518,0.20311771639356843,2015-09-16,"48 km W of Illapel, Chile",8.3,"{""type"":""Point"",""coordinates"":[-71.6744,-31.5729]}"
4,,,,,,,,,,,,,,,,,,2015-05-30,"Bonin Islands, Japan region",7.8,"{""type"":""Point"",""coordinates"":[140.4931,27.838599999999996]}"
