Admin_Region,Date,Longitude,Latitude,Magnitude,NTL_Pre_3yr,NTL_Pre_2yr,NTL_Pre_1yr,NTL_Eq_Year,NTL_Post_1yr,NTL_Post_2yr,NTL_Post_3yr,NTL_Post_4yr,NTL_Post_5yr
Loreto,2019/5/26,-75.2697,-5.8119,8,0.027253286,0.035346829,0.039899953,0.041310879,0.043438436,0.045844558,0.048603223,0.053910977,0.074670098
Coquimbo,2015/9/16,-71.6744,-31.5729,8.3,1.188022893,1.217862613,0.733108313,0.720877743,0.769949345,0.999482351,1.034042199,1.091923415,1.187795575
Biobio,2010/2/27,-72.898,-36.122,8.8,1.894110226,1.812934698,1.982316847,1.996232738,2.198583128,2.501824633,2.440233242,1.823757165,1.970482363
Nangroe Aceh Darussalam,2005/3/28,97.108,2.085,8.6,0.551356834,0.585972761,0.93032033,0.697591379,0.657979683,0.677447787,0.632910482,0.658760068,0.799233988
Arequipa,2001/6/23,-73.641,-16.265,8.4,0.522536692,0.494834751,0.493831842,0.48169928,0.531818154,0.510935743,0.57039813,0.562558521,0.565477856
East New Britain,2000/11/16,152.169,-3.98,8,0.101018983,0.086014953,0.136289073,0.145929225,0.081464564,0.095937032,0.041488076,0.107311501,0.061702057
Colima,1995/10/9,-104.205,19.055,8,4.009123434,4.70923411,5.239898684,6.228896157,5.688710014,4.801293279,5.603674992,5.716086094,6.212243975
Antofagasta,1995/7/30,-70.294,-23.34,8,0.134981923,0.191512888,0.178297529,0.242770992,0.265462311,0.264449522,0.315950045,0.323241307,0.344692371
