system:index,NDVI_mean,NDVI_sum,NTL_mean,NTL_sum,Precip_mean,Precip_sum,abbreviati,country_co,country_na,wld_rgn,year,.geo
00000000000000000036,-0.026294223513833294,-6.162025501816331,0.7831836772824092,73.954038295228,,0.0,S. Ga. & S. Sdwch. Is.,SX,S Georgia & S Sandwich Is,S Atlantic,2015,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-27.306694049573444,-59.4854430660973],[-27.341693871688083,-59.47624965223844]]},{""type"":""LineString"",""coordinates"":[[-37.06833264675991,-54.5137787276299],[-37.090057374770396,-54.50875086964563]]},{""type"":""LineString"",""coordinates"":[[-36.001666997974496,-54.81963731512257],[-35.98583225525302,-54.822498313051]]},{""type"":""LineString"",""coordinates"":[[-35.924972521282406,-54.69041820140036],[-35.90922166791218,-54.69335935425958]]},{""type"":""LineString"",""coordinates"":[[-36.17505641156936,-54.37877655318352],[-36.15919492127273,-54.37752917669244]]},{""type"":""LineString"",""coordinates"":[[-36.6634177811023,-54.16708371207332],[-36.64838792267938,-54.16463853046999]]},{""type"":""LineString"",""coordinates"":[[-37.135833741435896,-54.04916761915547],[-37.12166602067307,-54.05374907818139]]},{""type"":""LineString"",""coordinates"":[[-37.45341494994443,-54.03374859636578],[-37.43755722969763,-54.03497313567264]]},{""type"":""LineString"",""coordinates"":[[-37.36086269566474,-54.27083207837445],[-37.355834939712395,-54.2800293388735],[-37.33833322598195,-54.27127838343412]]},{""type"":""LineString"",""coordinates"":[[-36.895027153594675,-54.36294551283067],[-36.903362244465896,-54.37211229264817]]},{""type"":""LineString"",""coordinates"":[[-36.25083157779474,-54.78586197239835],[-36.26088712559407,-54.79338833111735]]},{""type"":""Polygon"",""coordinates"":[[[-27.341693871688083,-59.47624965223844],[-27.335027605491142,-59.43794631054187],[-27.429138128788782,-59.44335939776792],[-27.358360248458062,-59.47294617144557],[-27.341693871688083,-59.47624965223844]]]},{""type"":""Polygon"",""coordinates"":[[[-26.601667453203884,-59.07711026189064],[-26.512556131430706,-59.04919434575887],[-26.605028176684996,-59.00630571018944],[-26.651695320712577,-59.02455519226327],[-26.66416743700225,-59.04085926204816],[-26.601667453203884,-59.07711026189064]]]},{""type"":""Polygon"",""coordinates"":[[[-27.207471853626352,-56.72583386237662],[-27.106721869775573,-56.72458269026181],[-27.075860986396588,-56.71333316158851],[-27.151777261563048,-56.67880633905847],[-27.20422180407275,-56.699195858938594],[-27.207471853626352,-56.72583386237662]]]},{""type"":""Polygon"",""coordinates"":[[[-27.561750400023687,-56.327945707547016],[-27.522556258659655,-56.29338835960519],[-27.544221802611172,-56.273334496387555],[-27.59086034296359,-56.2858887037032],[-27.612499269684275,-56.30500027245248],[-27.561750400023687,-56.327945707547016]]]},{""type"":""Polygon"",""coordinates"":[[[-37.06833264675991,-54.5137787276299],[-37.0175819051879,-54.49835970630586],[-37.08666606662348,-54.467945084113],[-37.117553632310745,-54.471694937195615],[-37.10005568479937,-54.48955532065709],[-37.06422047496484,-54.500804879947374],[-37.06833264675991,-54.5137787276299]]]},{""type"":""Polygon"",""coordinates"":[[[-26.692527758277457,-57.0933036882597],[-26.65175053111356,-57.09708402603079],[-26.67002859047455,-57.05708311243736],[-26.72586063848563,-57.06583402308415],[-26.706666989568152,-57.070415508475804],[-26.699138569459116,-57.08169554202553],[-26.692527758277457,-57.0933036882597]]]},{""type"":""Polygon"",""coordinates"":[[[-26.249250485175054,-58.4883613761415],[-26.245832356537555,-58.40833281651891],[-26.271778203437552,-58.37874986048443],[-26.442499130064167,-58.382526408176176],[-26.451749855729965,-58.42961118026374],[-26.342500654315785,-58.469196348410854],[-26.275083494782603,-58.476249718037856],[-26.249250485175054,-58.4883613761415]]]},{""type"":""Polygon"",""coordinates"":[[[-26.475055676256463,-57.81291582996978],[-26.385000192375998,-57.80961228660205],[-26.354139331959612,-57.79666519186214],[-26.417499547652643,-57.7891654903223],[-26.443305962415717,-57.751251219829705],[-26.480943778185036,-57.75247193659926],[-26.515888230999828,-57.779998792409394],[-26.475055676256463,-57.81291582996978]]]},{""type"":""Polygon"",""coordinates"":[[[-36.093418067566304,-54.88711165235144],[-36.04336169499969,-54.87544630914883],[-36.01761249626419,-54.87586215349031],[-36.01586144335489,-54.865890499544946],[-35.97169502769526,-54.867111201248214],[-35.94669333733869,-54.85544585861874],[-35.9258041166715,-54.84166714979854],[-35.98583225525302,-54.822498313051],[-35.9975548274574,-54.83250046783007],[-36.001666997974496,-54.81963731512257],[-36.03841787661037,-54.81624984701354],[-36.04169454175866,-54.79961012820342],[-36.074249185753104,-54.78416823082017],[-36.00502780266612,-54.79961011434366],[-35.899166178172564,-54.80669404687918],[-35.889999367598115,-54.78880693864417],[-35.877582538064736,-54.79499818890741],[-35.87335971514229,-54.785446148555465],[-35.82841487979872,-54.79127881082981],[-35.787498500309056,-54.7625007636836],[-35.83002851170144,-54.75624850212421],[-35.836750005199,-54.743778200855296],[-35.85419470467835,-54.74919511623136],[-35.905082617847306,-54.71544264280988],[-35.940917894725104,-54.691665655898866],[-35.924972521282406,-54.69041820140036],[-35.93589023441259,-54.63002778196807],[-35.88594434735834,-54.54586027496589],[-35.900028246905194,-54.539585065705836],[-35.99502950764097,-54.57374956697918],[-36.01502605359382,-54.55788802053113],[-36.069194796446624,-54.560028100892815],[-36.09252930224102,-54.535861936160096],[-36.073333733720546,-54.51044464114637],[-36.00088876929678,-54.50172040505797],[-36.0425567350849,-54.470832834121],[-36.042583526878026,-54.46088790716202],[-36.14424891504963,-54.453334788253265],[-36.182556142618644,-54.41919324887701],[-36.161640202225904,-54.394611376469115],[-36.17505641156936,-54.37877655318352],[-36.25500102600232,-54.385471360081],[-36.251640265619486,-54.365470864221294],[-36.20586017856318,-54.34419632371408],[-36.24005503508077,-54.335445397552874],[-36.25175101806218,-54.32875059880488],[-36.237583138554626,-54.320026416748206],[-36.2508888329727,-54.3108596644867],[-36.25336077141755,-54.28710937935972],[-36.27838897123999,-54.28461076982626],[-36.30163956817454,-54.26047137955429],[-36.330860157315385,-54.26252749224204],[-36.39330674111502,-54.2404441431643],[-36.37091836238923,-54.2966957131098],[-36.337528251654916,-54.352554351893836],[-36.33750159850183,-54.36500167445355],[-36.400833142918515,-54.339195229065325],[-36.442500997887684,-54.3100013638005],[-36.49000168396572,-54.36208343767194],[-36.49085995021052,-54.34166718461106],[-36.48005675225033,-54.27877809799589],[-36.47172169255471,-54.24124907704666],[-36.48833464100313,-54.2370834163093],[-36.527526836986,-54.2383613291186],[-36.60425185610266,-54.27166750755661],[-36.625057191053706,-54.281249980515895],[-36.63163759276704,-54.27041626839888],[-36.66083151830869,-54.28502657289271],[-36.66172408174889,-54.262973766152804],[-36.66424936453196,-54.24747086798542],[-36.58416750013628,-54.21166606036955],[-36.57497410209715,-54.18880459526],[-36.48666759565931,-54.195446010457935],[-36.49091715702389,-54.1816673105338],[-36.56000135901626,-54.16041565926566],[-36.67839052306614,-54.18297196679916],[-36.704223707605394,-54.173362735883366],[-36.6634177811023,-54.16708371207332],[-36.71083452771149,-54.154193849891065],[-36.68672186134973,-54.14875030467661],[-36.67835995485739,-54.13294604394096],[-36.634166679006185,-54.13586044036535],[-36.61919398231253,-54.125862105572836],[-36.65672303604393,-54.11713794592404],[-36.67005532406952,-54.10797118248392],[-36.77172087356677,-54.10708232903927],[-36.79836274590036,-54.150444056591745],[-36.810890269767505,-54.11752700635257],[-36.80913923193756,-54.0958595258213],[-36.91336056342472,-54.07208251028738],[-36.94335939825742,-54.083778338139055],[-36.933303856295225,-54.094612119723756],[-37.0100288506028,-54.127944973007956],[-37.03583138990627,-54.12088774430253],[-36.96086120741177,-54.063362084333626],[-37.00749972195269,-54.05749890512539],[-37.014167791603946,-54.074165298862944],[-37.03333287154683,-54.06294632571267],[-37.10252759296989,-54.10083392300802],[-37.10916513875494,-54.113334673075755],[-37.124168476755386,-54.11836244271886],[-37.16083142354758,-54.1158333050331],[-37.14250179361597,-54.0975265294514],[-37.136638670084814,-54.07875059547602],[-37.11000064985732,-54.06041714685821],[-37.12166602067307,-54.05374907818139],[-37.148361198024915,-54.06211085585985],[-37.135833741435896,-54.04916761915547],[-37.13008495847029,-54.037109407084415],[-37.184139260031415,-54.04499812028582],[-37.18585968163301,-54.05416493232289],[-37.225833811906945,-54.056694019559195],[-37.23172379219349,-54.08464046619159],[-37.27833176621947,-54.053749075291805],[-37.3624992226103,-54.04499819608633],[-37.42997365022647,-54.06124877446222],[-37.46250152294543,-54.0525550476663],[-37.45341494994443,-54.03374859636578],[-37.43413923896968,-54.020053883932924],[-37.44666669573753,-54.008777658866],[-37.3692207562362,-53.99502946448785],[-37.38497162506102,-53.98291782995794],[-37.42174919833936,-53.98374940336147],[-37.433418318676374,-53.99041747893184],[-37.511722521667764,-54.01874921079182],[-37.64836122552833,-54.00208284163006],[-37.702556667477,-54.00669481240248],[-37.67505645353491,-53.982082328651245],[-37.71172328780618,-53.980415367405854],[-37.72174834963387,-53.968776716816954],[-37.75083157287217,-53.98083495217239],[-37.75666812987704,-54.00210954491168],[-37.83336257167746,-54.01788715017596],[-37.888332322147285,-53.995418528719036],[-37.965057354364205,-54.00711058291783],[-37.97499845998816,-54.01958463339089],[-38.0050278156299,-54.0071105815135],[-38.022529537535206,-54.01336289707709],[-37.997528019527806,-54.02669523322254],[-38.0116653286282,-54.057971968855135],[-37.9999999771847,-54.06624981311991],[-37.969196284345614,-54.03499987046733],[-37.86999899565999,-54.05294419520086],[-37.82502743144917,-54.031307185173425],[-37.806694071228264,-54.0554161156407],[-37.67166519651733,-54.030445058256625],[-37.65663905799902,-54.04544450511875],[-37.60588834056137,-54.04922106024357],[-37.65333179366885,-54.06380461694364],[-37.63591764310946,-54.07169344238829],[-37.71922304091532,-54.09252926573657],[-37.730835055466414,-54.10333252581025],[-37.654140427529796,-54.105026259892924],[-37.66755666975149,-54.12005615219319],[-37.72835922729317,-54.14544292899195],[-37.693359363092256,-54.16127776046545],[-37.63502883196312,-54.17791749756375],[-37.5449981738854,-54.170417737860355],[-37.54000087861581,-54.152137780585],[-37.560001441004935,-54.150444052221985],[-37.53675085669382,-54.1346397529932],[-37.42833326690364,-54.145416304774656],[-37.23919303808596,-54.15085985362817],[-37.4108887248511,-54.187557234882526],[-37.36669537820911,-54.212139151537784],[-37.31916813364711,-54.22672273260317],[-37.41588975112391,-54.250057256515326],[-37.40999990449218,-54.27127837393478],[-37.36086269566474,-54.27083207837445],[-37.33833322598195,-54.27127838343412],[-37.26088717400136,-54.25749971522034],[-37.24839022008079,-54.239582079143375],[-37.085804022335616,-54.29088973278083],[-37.10416793667755,-54.31833269408068],[-36.971721707876426,-54.3537483184161],[-36.8983345522164,-54.3421096649504],[-36.860889390164466,-54.35588836158624],[-36.895027153594675,-54.36294551283067],[-36.89008332495721,-54.387111649103495],[-36.840915657994096,-54.38085937511077],[-36.83502953081136,-54.40541839430238],[-36.794193221829275,-54.40747067124332],[-36.81249993272126,-54.45336149916451],[-36.650859778406875,-54.48088838553247],[-36.640834788337784,-54.50836179487992],[-36.607498174746,-54.51336288039629],[-36.52175139540759,-54.49708173243293],[-36.50999835475043,-54.50461194226688],[-36.50330739761995,-54.51958467780097],[-36.45088958064136,-54.52752684429568],[-36.465000129625686,-54.54380419033869],[-36.49258421840732,-54.563388824065434],[-36.41258240685833,-54.595027927301814],[-36.34419631105935,-54.66086193228958],[-36.290889747607544,-54.752555882570775],[-36.25083157779474,-54.78586197239835],[-36.17425152650393,-54.82336043060708],[-36.12250145865275,-54.85166550138149],[-36.11830513829968,-54.86458206166274],[-36.093418067566304,-54.88711165235144]],[[-36.0416679436197,-54.8662795830484],[-36.057582847196784,-54.87083437366181],[-36.04336169499969,-54.87544630914883],[-36.0416679436197,-54.8662795830484]]]}]}"
000000000000000000db,0.32221755770928756,4.802937007266674,0.9488251705491075,8.025944677938922,,0.0,St. Hel.,SH,St Helena,S Atlantic,2015,"{""type"":""MultiPolygon"",""coordinates"":[[[[-14.405416512961024,-7.992499824286543],[-14.320860849260526,-7.973777781797091],[-14.29919433608896,-7.9470834800567385],[-14.382527393724105,-7.890416626455305],[-14.422944043456942,-7.935027561138033],[-14.405416512961024,-7.992499824286543]]],[[[-12.277500134957622,-37.19625088409905],[-12.217082975335432,-37.139194497236325],[-12.254221946982693,-37.084609990935505],[-12.32297226392606,-37.08166504445853],[-12.352138496426742,-37.14669421594643],[-12.318750365044451,-37.189193715081636],[-12.277500134957622,-37.19625088409905]]],[[[-9.895000485360168,-40.36708453484608],[-9.874972345943737,-40.33377839773335],[-9.92666623724735,-40.27627948962151],[-9.990027452992166,-40.27872088067627],[-10.004194247307616,-40.30211258667082],[-10.001666984075666,-40.31791685142483],[-9.964611033273448,-40.32833481667806],[-9.907500261854207,-40.367111208904475],[-9.895000485360168,-40.36708453484608]]],[[[-5.74169448202993,-16.024583811763673],[-5.700027965425583,-16.00041583167813],[-5.689555628085302,-16.006666192686144],[-5.63627763875984,-15.9700279518298],[-5.6575278953728345,-15.912917115052295],[-5.709583245103457,-15.910027483273696],[-5.777916444607042,-15.970861477051864],[-5.791250260416669,-15.995027556225548],[-5.7541942416995875,-16.02294353382898],[-5.74169448202993,-16.024583811763673]]]]}"
