system:index,NTL_Post_W0,NTL_Post_W1,NTL_Post_W10,NTL_Post_W12,NTL_Post_W13,NTL_Post_W2,NTL_Post_W3,NTL_Post_W4,NTL_Post_W5,NTL_Post_W6,NTL_Post_W7,NTL_Post_W8,NTL_Post_W9,NTL_Pre_W1,NTL_Pre_W2,NTL_Pre_W3,NTL_Pre_W4,NTL_Pre_W5,date,location_name,magnitude,.geo
0,-999,-999,-999,0.07220163196325302,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2016-12-08,"69 km WSW of Kirakira, Solomon Islands",7.8,"{""type"":""Point"",""coordinates"":[161.3273,-10.681200000000002]}"
1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1592207854678817,0.2902581080404613,0.09812830166952982,0.45719090767884235,2016-11-13,"53 km NNE of Amberley, New Zealand",7.8,"{""type"":""Point"",""coordinates"":[173.054,-42.7373]}"
2,,,,,,,,,,,,,,,,,,,2016-07-29,"Pagan region, Northern Mariana Islands",7.7,"{""type"":""Point"",""coordinates"":[145.5073,18.5429]}"
3,1.0744672730946274,0.04558944363812684,0.8067912953709694,1.0630112307247632,3.8565661186262594,0.37049830045277693,0.4035597757289284,0.9482371119943093,1.9561069510298434,0.751981250711644,1.8136488335827987,1.8876880324586962,3.1239751812050622,1.794717730106157,0.7423184003148761,1.5348787036475136,1.7677618687516614,0.2792678564786911,2016-04-16,"27 km SSE of Muisne, Ecuador",7.8,"{""type"":""Point"",""coordinates"":[-79.9218,0.3819]}"
4,,,,,,,,,,,,,,,-999,-999,-999,-999,2016-03-02,"southwest of Sumatra, Indonesia",7.8,"{""type"":""Point"",""coordinates"":[94.3299,-4.952099999999999]}"
