system:index,NTL_Post_W0,NTL_Post_W1,NTL_Post_W10,NTL_Post_W11,NTL_Post_W12,NTL_Post_W13,NTL_Post_W14,NTL_Post_W15,NTL_Post_W2,NTL_Post_W3,NTL_Post_W4,NTL_Post_W5,NTL_Post_W6,NTL_Post_W7,NTL_Post_W8,NTL_Post_W9,NTL_Pre_W1,NTL_Pre_W2,NTL_Pre_W3,NTL_Pre_W4,NTL_Pre_W5,NTL_Pre_W6,NTL_Pre_W7,NTL_Pre_W8,date,location_name,magnitude,.geo
0,0.5531587387150567,0.47743175296407,-999,-999,-999,-999,-999,-999,0.2562532071870836,2.79830107304068,0.6944320410423513,0.42081275547659674,0.4922416025400162,0.7509451707375189,9.902408123016357,-999,2.522641241759023,0.4687800457080205,0.7970418402126858,0.4436387816263783,0.19242038215173685,0.4881662581529882,0.5223173526200381,0.5462750577500888,2012-09-05,"11 km ENE of Hojancha, Costa Rica",7.6,"{""type"":""Point"",""coordinates"":[-85.315,10.084999999999999]}"
1,,,-999,-999,-999,-999,-999,-999,,,,,,,,-999,,,,,,,,,2012-08-31,"89 km E of Sulangan, Philippines",7.6,"{""type"":""Point"",""coordinates"":[126.63800000000002,10.811]}"
2,,,,,-999,-999,-999,-999,,,,,,,,,,,,,,,,,2012-08-14,"156 km ENE of Poronaysk, Russia",7.7,"{""type"":""Point"",""coordinates"":[145.064,49.8]}"
3,,,,,,,,,,,,,,,,,,,,,,,-999,-999,2012-04-11,2012 Wharton Basin Aftershock,8.2,"{""type"":""Point"",""coordinates"":[92.463,0.8020000000000002]}"
4,,,,,,,,,,,,,,,,,,,,,,,-999,-999,2012-04-11,off the west coast of northern Sumatra,8.6,"{""type"":""Point"",""coordinates"":[93.063,2.327]}"
