system:index,NTL_Post_W0,NTL_Post_W1,NTL_Post_W10,NTL_Post_W11,NTL_Post_W12,NTL_Post_W13,NTL_Post_W14,NTL_Post_W15,NTL_Post_W2,NTL_Post_W3,NTL_Post_W4,NTL_Post_W5,NTL_Post_W6,NTL_Post_W7,NTL_Post_W8,NTL_Post_W9,NTL_Pre_W1,NTL_Pre_W2,NTL_Pre_W3,NTL_Pre_W4,NTL_Pre_W5,NTL_Pre_W6,NTL_Pre_W7,NTL_Pre_W8,date,location_name,magnitude,.geo
0,0.15525600954996674,0.04814665328034842,0.07886347420208094,0.07594090937756301,0.030754022680564822,0.0759169698323148,0.31844292644300837,0.03500585612639137,0.029731500553402627,0.010257662084834812,0.26354395698670563,0.07162052616599444,0.08669838446837642,0.4733777870954819,0.0448671149584777,0.09373437203921553,0.03629101631406133,0.22317058885393887,0.17734669497403852,0.19578747108669528,0.2053398044058349,0.3714472942519933,0.25079799753092036,0.372236734341894,2019-05-26,"78 km NE of Navarro, Peru",8,"{""type"":""Point"",""coordinates"":[-75.2697,-5.811899999999999]}"
1,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-14,"48 km NE of Kokopo, Papua New Guinea",7.6,"{""type"":""Point"",""coordinates"":[152.5967,-4.051]}"
2,-999,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,2019-02-22,"115 km ESE of Palora, Ecuador",7.5,"{""type"":""Point"",""coordinates"":[-77.0505,-2.1862]}"
3,-999,-999,-999,-999,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,2018-12-05,"166 km ESE of Tadine, New Caledonia",7.5,"{""type"":""Point"",""coordinates"":[169.4266,-21.9496]}"
4,0.052238788921386003,0.04051606450229883,-999,-999,-999,-999,-999,-999,0.1887914091348648,1.6014281511306763,,-999,-999,-999,-999,-999,0.009999999776482582,,0.08622565865516663,,0.009999999776482582,0.15031440556049347,0.06708780489861965,0.3637976050376892,2018-09-28,"72 km N of Palu, Indonesia",7.5,"{""type"":""Point"",""coordinates"":[119.84619999999998,-0.2559]}"
