system:index,NTL_Post_W10,NTL_Post_W11,NTL_Post_W12,NTL_Post_W13,NTL_Post_W14,NTL_Post_W15,NTL_Post_W4,NTL_Post_W5,NTL_Post_W6,NTL_Post_W7,NTL_Post_W8,NTL_Post_W9,NTL_Pre_W3,NTL_Pre_W4,NTL_Pre_W6,NTL_Pre_W7,NTL_Pre_W8,date,location_name,magnitude,.geo
0,-999,-999,-999,-999,-999,-999,0.2919199429549432,0.3557225479176934,0.5206252807011343,0.14934399537742138,-999,-999,0.2914447903633118,24.6799455160896,0.168888156198793,0.13087576627731323,0.29013202655113346,2017-09-08,"2017 Tehuantepec, Mexico Earthquake",8.2,"{""type"":""Point"",""coordinates"":[-93.89930000000001,15.022200000000002]}"
1,,,,,,,,,,,,,,,,,,2017-07-17,"Komandorskiye Ostrova, Russia region",7.7,"{""type"":""Point"",""coordinates"":[168.857,54.4434]}"
2,,,,,,,-999,,,,,,-999,-999,-999,-999,-999,2017-01-22,"35 km WNW of Panguna, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[155.1718,-6.2464]}"
3,0.14682206511497498,3.3359195951919034,0.18274104654929546,0.11291432042013516,2.03379242025854,0.5541853570009339,-999,-999,-999,-999,-999,0.1938696727156639,-999,-999,-999,-999,0.04756632074713707,2016-12-25,"41 km SW of Quellón, Chile",7.6,"{""type"":""Point"",""coordinates"":[-73.9413,-43.4064]}"
4,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,2016-12-17,"140 km E of Kokopo, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[153.5216,-4.504899999999999]}"
