system:index,NTL_Post_M0,NTL_Post_M1,NTL_Post_M10,NTL_Post_M11,NTL_Post_M12,NTL_Post_M13,NTL_Post_M14,NTL_Post_M15,NTL_Post_M16,NTL_Post_M17,NTL_Post_M18,NTL_Post_M19,NTL_Post_M2,NTL_Post_M20,NTL_Post_M21,NTL_Post_M22,NTL_Post_M23,NTL_Post_M24,NTL_Post_M3,NTL_Post_M4,NTL_Post_M5,NTL_Post_M6,NTL_Post_M7,NTL_Post_M8,NTL_Post_M9,NTL_Pre_M1,NTL_Pre_M10,NTL_Pre_M11,NTL_Pre_M12,NTL_Pre_M13,NTL_Pre_M14,NTL_Pre_M15,NTL_Pre_M16,NTL_Pre_M17,NTL_Pre_M18,NTL_Pre_M19,NTL_Pre_M2,NTL_Pre_M20,NTL_Pre_M21,NTL_Pre_M22,NTL_Pre_M23,NTL_Pre_M24,NTL_Pre_M3,NTL_Pre_M4,NTL_Pre_M5,NTL_Pre_M6,NTL_Pre_M7,NTL_Pre_M8,NTL_Pre_M9,date,latitude,location_name,longitude,magnitude,population_in_aoi,.geo
0,7612.674509803922,7317.384313725491,8622.207843137254,8427.756862745098,8186.717647058825,7936.854901960785,7259.235294117647,7971.396078431373,6517.760784313726,7623.1450980392165,8478.882352941177,8756.549019607843,7850.372549019608,8934.180392156863,8759.196078431372,8489.086274509804,8592.992156862745,7521.949019607844,7312.501960784314,8725.549019607843,7543.64705882353,7806.964705882353,8698.756862745098,8815.450980392157,8861.141176470588,7857.2156862745105,6422.121568627452,7762.866666666668,7694.54117647059,8401.81568627451,8615.741176470588,8139.800000000001,-999,-999,-999,-999,8870.996078431373,-999,-999,-999,-999,-999,8817.8,8856.921568627451,8626.858823529414,8506.305882352943,7719.937254901961,7945.90980392157,7106.678431372549,2013-04-20,30.308,"56 km WSW of Linqiong, China",102.888,6.6,289263.55265526497,"{""type"":""Point"",""coordinates"":[102.888,30.308000000000003]}"
1,83104.73725490192,83381.92156862741,84608.01568627445,83532.96078431368,83828.18431372545,83709.47450980387,81587.59999999996,68276.98039215691,76899.86274509803,83181.77647058821,84707.9843137254,84641.25882352937,82943.51764705879,85142.41568627443,84595.30196078424,84294.19607843133,84184.35294117642,83613.94117647053,81006.35686274504,78731.00392156863,83528.12941176468,84596.73333333325,84776.31372549015,85008.8509803921,85223.79215686268,83066.43529411759,82727.5058823529,82877.30588235287,83599.15686274503,83916.0549019607,83312.89803921562,84086.18823529409,84704.8823529411,84588.43921568619,83947.62352941174,82701.19999999991,83304.39607843132,78203.07058823526,73982.0980392157,79424.08627450983,83234.99607843134,82569.19999999992,83958.16078431369,84543.40784313717,84539.03137254894,84061.6078431372,83328.81960784306,78919.73725490198,74154.24705882354,2015-04-25,28.2305,"67 km NNE of Bharatpur, Nepal",84.7314,7.8,373777.34736921947,"{""type"":""Point"",""coordinates"":[84.7314,28.2305]}"
2,84624.06274509795,84901.65882352932,86149.14901960775,85093.70196078421,85370.10588235283,85230.094117647,82969.07058823519,69302.81176470585,78253.29803921565,84648.57254901952,86286.14509803911,86206.32941176459,84483.02352941167,86672.29803921559,86152.54509803912,85838.71372549009,85735.63529411756,85156.58823529398,82524.94117647053,80187.1372549019,85022.39999999989,86158.71372549012,86340.63529411759,86538.61176470574,86751.44705882343,84597.72156862734,84230.09803921562,84397.56078431364,85178.06666666655,85497.59607843126,84826.1294117646,85635.9137254901,86258.80392156853,86120.40784313715,85425.40784313717,84186.10196078419,84871.13333333323,79550.56470588235,75140.5921568627,80909.08627450971,84789.1686274509,84138.41960784305,85503.9607843136,86074.69803921557,86066.54117647046,85594.5999999999,84780.21568627446,80234.16078431369,75446.65098039214,2015-04-25,28.2244,"71 km NNE of Bharatpur, Nepal",84.8216,6.6,368820.7062822303,"{""type"":""Point"",""coordinates"":[84.8216,28.224399999999996]}"
3,72014.38431372553,72700.73725490201,73364.97254901964,72864.80392156864,72799.41960784314,72454.90588235298,68958.27450980393,54759.36470588239,66603.91764705886,70898.24313725495,73323.52549019612,73760.99607843142,72029.96470588239,73893.737254902,73490.1960784314,73252.43529411768,73367.71372549023,72243.89411764707,69449.91764705886,67558.45098039217,72485.89019607847,73590.20392156864,73614.09803921572,73756.51764705888,73973.61960784318,72223.29411764709,70944.65490196082,71627.29019607847,72794.7803921569,72917.58823529414,72253.46666666672,73142.97254901964,73539.83921568631,73333.0823529412,72357.00392156867,71600.32941176475,72567.27843137256,67177.23137254905,59790.5254901961,68988.21960784316,71960.42352941175,71716.96470588238,72998.70196078434,73380.40784313729,73536.44705882354,72949.71372549023,70965.32156862748,65734.87058823528,62194.27450980395,2015-04-26,27.7711,"21 km SSE of Kod?ri??, Nepal",86.0173,6.7,496026.9377614772,"{""type"":""Point"",""coordinates"":[86.0173,27.7711]}"
4,74631.97647058823,73963.43529411763,74788.12549019608,74749.19215686274,74346.2,70692.47843137254,56044.7019607843,68346.3568627451,72730.64705882355,75278.37647058823,75727.06666666665,75872.94509803921,71258.44705882353,75436.95294117648,75195.67058823531,75324.25882352942,74153.09019607842,73997.4666666667,69298.39607843138,74402.3254901961,75516.96470588235,75579.47843137257,75699.82745098037,75911.10588235295,75322.00000000001,73925.13333333335,63748.301960784294,72808.07450980392,73520.91764705883,74738.92941176471,74840.63921568629,74182.90588235295,75090.96862745097,75507.34901960786,75241.45490196081,74245.1568627451,74123.93333333333,73443.40784313723,68960.86666666664,61137.494117647046,70840.1137254902,73912.01960784315,74514.03529411764,74947.5725490196,75336.84705882352,75515.68235294118,74886.08627450983,72818.49411764707,67406.52156862745,2015-05-12,27.8087,Nepal,86.0655,7.3,470705.4875450436,"{""type"":""Point"",""coordinates"":[86.06550000000001,27.8087]}"
