system:index,NTL_Pre_W34,NTL_Pre_W35,NTL_Pre_W36,NTL_Pre_W37,NTL_Pre_W38,NTL_Pre_W39,NTL_Pre_W40,NTL_Pre_W41,NTL_Pre_W42,NTL_Pre_W43,NTL_Pre_W44,NTL_Pre_W45,NTL_Pre_W46,NTL_Pre_W47,NTL_Pre_W48,NTL_Pre_W49,NTL_Pre_W50,NTL_Pre_W51,NTL_Pre_W52,date,location_name,magnitude,.geo
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012-09-05,"11 km ENE of Hojancha, Costa Rica",7.6,"{""type"":""Point"",""coordinates"":[-85.315,10.084999999999999]}"
1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012-08-31,"89 km E of Sulangan, Philippines",7.6,"{""type"":""Point"",""coordinates"":[126.63800000000002,10.811]}"
2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012-08-14,"156 km ENE of Poronaysk, Russia",7.7,"{""type"":""Point"",""coordinates"":[145.064,49.8]}"
3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012-04-11,2012 Wharton Basin Aftershock,8.2,"{""type"":""Point"",""coordinates"":[92.463,0.8020000000000002]}"
4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2012-04-11,off the west coast of northern Sumatra,8.6,"{""type"":""Point"",""coordinates"":[93.063,2.327]}"
