system:index,date,location_name,magnitude,.geo
0,2018-09-06,"45 km S of Levuka, Fiji",7.9,"{""type"":""Point"",""coordinates"":[179.35020000000003,-18.474300000000003]}"
1,2018-08-19,"267 km E of Levuka, Fiji",8.2,"{""type"":""Point"",""coordinates"":[-178.153,-18.1125]}"
2,2018-02-25,"32 km SW of Tari, Papua New Guinea",7.5,"{""type"":""Point"",""coordinates"":[142.7536,-6.0699]}"
3,2018-01-23,"261 km SE of Chiniak, Alaska",7.9,"{""type"":""Point"",""coordinates"":[-149.1658,56.0039]}"
4,2018-01-10,"203 km NNE of Barra Patuca, Honduras",7.5,"{""type"":""Point"",""coordinates"":[-83.52,17.482500000000005]}"
