system:index,NTL_Post_W100,NTL_Post_W101,NTL_Post_W102,NTL_Post_W103,NTL_Post_W104,NTL_Post_W105,NTL_Post_W106,NTL_Post_W107,NTL_Post_W108,NTL_Post_W109,NTL_Post_W110,NTL_Post_W111,NTL_Post_W112,NTL_Post_W113,NTL_Post_W114,NTL_Post_W115,NTL_Post_W116,NTL_Post_W117,NTL_Post_W118,NTL_Post_W119,NTL_Post_W120,NTL_Post_W121,NTL_Post_W122,NTL_Post_W123,NTL_Post_W124,NTL_Post_W125,NTL_Post_W126,NTL_Post_W127,NTL_Post_W128,NTL_Post_W129,NTL_Post_W130,NTL_Post_W131,NTL_Post_W132,NTL_Post_W133,NTL_Post_W134,NTL_Post_W135,NTL_Post_W136,NTL_Post_W137,NTL_Post_W138,NTL_Post_W139,NTL_Post_W140,NTL_Post_W141,NTL_Post_W142,NTL_Post_W143,NTL_Post_W144,NTL_Post_W145,NTL_Post_W146,NTL_Post_W147,NTL_Post_W148,NTL_Post_W149,NTL_Post_W150,NTL_Post_W151,NTL_Post_W152,NTL_Post_W153,NTL_Post_W154,NTL_Post_W155,NTL_Post_W36,NTL_Post_W37,NTL_Post_W38,NTL_Post_W39,NTL_Post_W40,NTL_Post_W41,NTL_Post_W42,NTL_Post_W43,NTL_Post_W44,NTL_Post_W45,NTL_Post_W46,NTL_Post_W47,NTL_Post_W48,NTL_Post_W49,NTL_Post_W50,NTL_Post_W51,NTL_Post_W52,NTL_Post_W53,NTL_Post_W54,NTL_Post_W55,NTL_Post_W56,NTL_Post_W57,NTL_Post_W58,NTL_Post_W59,NTL_Post_W60,NTL_Post_W61,NTL_Post_W62,NTL_Post_W63,NTL_Post_W64,NTL_Post_W65,NTL_Post_W66,NTL_Post_W67,NTL_Post_W68,NTL_Post_W69,NTL_Post_W70,NTL_Post_W71,NTL_Post_W72,NTL_Post_W73,NTL_Post_W74,NTL_Post_W75,NTL_Post_W76,NTL_Post_W77,NTL_Post_W78,NTL_Post_W79,NTL_Post_W80,NTL_Post_W81,NTL_Post_W82,NTL_Post_W83,NTL_Post_W84,NTL_Post_W85,NTL_Post_W86,NTL_Post_W87,NTL_Post_W88,NTL_Post_W89,NTL_Post_W90,NTL_Post_W91,NTL_Post_W92,NTL_Post_W93,NTL_Post_W94,NTL_Post_W95,NTL_Post_W96,NTL_Post_W97,NTL_Post_W98,NTL_Post_W99,date,location_name,magnitude,.geo
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2025-02-08,"210 km SSW of George Town, Cayman Islands",7.6,"{""type"":""Point"",""coordinates"":[-82.395,17.6506]}"
1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,2024-01-01,"2024 Noto Peninsula, Japan Earthquake",7.5,"{""type"":""Point"",""coordinates"":[137.271,37.4874]}"
2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,2023-12-02,"19 km E of Gamut, Philippines",7.6,"{""type"":""Point"",""coordinates"":[126.4161,8.526600000000002]}"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-19,southeast of the Loyalty Islands,7.7,"{""type"":""Point"",""coordinates"":[170.7423,-23.2063]}"
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-10,"82 km WNW of Hihifo, Tonga",7.6,"{""type"":""Point"",""coordinates"":[-174.4925,-15.627799999999997]}"
