system:index,date,location_name,magnitude,.geo
0,2017-09-08,"2017 Tehuantepec, Mexico Earthquake",8.2,"{""type"":""Point"",""coordinates"":[-93.89930000000001,15.022200000000002]}"
1,2017-07-17,"Komandorskiye Ostrova, Russia region",7.7,"{""type"":""Point"",""coordinates"":[168.857,54.4434]}"
2,2017-01-22,"35 km WNW of Panguna, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[155.1718,-6.2464]}"
3,2016-12-25,"41 km SW of Quellón, Chile",7.6,"{""type"":""Point"",""coordinates"":[-73.9413,-43.4064]}"
4,2016-12-17,"140 km E of Kokopo, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[153.5216,-4.504899999999999]}"
