system:index,NTL_1992,NTL_1993,NTL_1994,NTL_1995,NTL_1996,NTL_1997,NTL_1998,NTL_1999,NTL_2000,NTL_2001,NTL_2002,NTL_2003,NTL_2004,NTL_2005,NTL_2006,NTL_2007,NTL_2008,NTL_2009,NTL_2010,NTL_2011,NTL_2012,NTL_2013,NTL_2014,NTL_2015,NTL_2016,NTL_2017,NTL_2018,NTL_2019,NTL_2020,NTL_2021,NTL_2022,date,location_name,magnitude,.geo
0,7.476351092085987E-4,0.0,0.0,0.0,0.0,4.111993100647293E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-17,"Komandorskiye Ostrova, Russia region",7.7,"{""type"":""Point"",""coordinates"":[168.857,54.4434]}"
1,0.0,0.002811907450652528,0.01067246691497664,0.007860559464324112,0.010384885471159904,0.03732168070866083,0.018628886860572996,0.012589676540421545,0.014347118697079376,0.013580234846901414,0.012813350996723451,0.008212047895655678,0.008819164277046565,0.00904283873334847,0.006742187182814584,0.008467675845714999,0.004729117076097434,0.005144511850296269,0.009362372497744142,0.008563536326987245,0.008819164277046565,0.004441535632280697,0.0022047910692616413,0.003930279732162056,0.002428465525563547,0.004026140213434302,0.0038024657571323955,0.0030355819069544337,0.0034829308195582446,0.0053681869512457354,0.004473489126038113,2017-01-22,"35 km WNW of Panguna, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[155.1718,-6.2464]}"
2,0.005767990778540937,0.01214460371655132,0.0168135763584999,0.019942952890758387,0.02240500626983393,0.020307430199619114,0.029222197180942048,0.030167090867581486,0.033035563919200726,0.04452145274061757,0.043071144413877036,0.04040899482378122,0.059246885481870654,0.04559629449290359,0.043371426096227364,0.05578993725770392,0.04400587302984222,0.061567001185556906,0.07177601489849313,0.07028816693280539,0.08902898574481634,0.07626266432729631,0.037083276746247,0.043131219065789754,0.04068162018772051,0.06681372746090186,0.06396540139620457,0.0853596699630496,0.07292146970071751,0.12477880668847008,0.15353606635758152,2016-12-25,"41 km SW of Quellón, Chile",7.6,"{""type"":""Point"",""coordinates"":[-73.9413,-43.4064]}"
3,0.0,5.12720366082342E-4,2.884052059213174E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.281800915205855E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9227013728087826E-4,0.0,0.0,2.2431516016102463E-4,2.2431516016102463E-4,0.0,0.0013458909609661478,0.0024674667617712713,2016-12-17,"140 km E of Kokopo, Papua New Guinea",7.9,"{""type"":""Point"",""coordinates"":[153.5216,-4.504899999999999]}"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053971585531223E-4,0.0,0.0,0.0,0.0,0.0,6.317464481914029E-4,0.0,0.0,0.0,2.8428621862167634E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-08,"69 km WSW of Kirakira, Solomon Islands",7.8,"{""type"":""Point"",""coordinates"":[161.3273,-10.681200000000002]}"
