system:index,NTL_1992,NTL_1993,NTL_1994,NTL_1995,NTL_1996,NTL_1997,NTL_1998,NTL_1999,NTL_2000,NTL_2001,NTL_2002,NTL_2003,NTL_2004,NTL_2005,NTL_2006,NTL_2007,NTL_2008,NTL_2009,NTL_2010,NTL_2011,NTL_2012,NTL_2013,NTL_2014,NTL_2015,NTL_2016,NTL_2017,NTL_2018,NTL_2019,NTL_2020,NTL_2021,NTL_2022,date,location_name,magnitude,.geo
0,6.741481246190573E-4,7.415629370809631E-4,0.0019550295613952663,9.438073744666803E-4,0.0017934322903468746,3.3707406230952866E-4,8.763925620047746E-4,4.7190368723334014E-4,0.0021235665925500307,0.0018201999364714548,0.019628814042584763,0.008325729339045358,0.006589797918151286,0.0032696184044024284,0.0,0.001011222186928586,7.078555308500102E-4,8.089773218012644E-4,2.022443304503161E-4,0.0,0.0,0.0022752499205893188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-12,South Sandwich Islands region,8.1,"{""type"":""Point"",""coordinates"":[-25.2637,-58.375299999999996]}"
1,3.4475991629229213E-4,1.3790396651691686E-4,7.584718158430427E-4,0.0,0.0011894217112084079,0.0,0.0,0.0,0.0019134175354222213,6.895198325845843E-4,0.004619782878316715,0.0,0.0,0.0,0.0,0.0,4.999018786238236E-4,2.0685567010657755E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-12,South Sandwich Islands region,7.5,"{""type"":""Point"",""coordinates"":[-25.0316,-57.567400000000006]}"
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011509150114636581,0.0,0.0,0.0,2021-07-29,Alaska Peninsula,8.2,"{""type"":""Point"",""coordinates"":[-157.8876,55.3635]}"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-04,"Kermadec Islands, New Zealand",8.1,"{""type"":""Point"",""coordinates"":[-177.2794,-29.7228]}"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-10,southeast of the Loyalty Islands,7.7,"{""type"":""Point"",""coordinates"":[171.6566,-23.0511]}"
