system:index,NTL_1992,NTL_1993,NTL_1994,NTL_1995,NTL_1996,NTL_1997,NTL_1998,NTL_1999,NTL_2000,NTL_2001,NTL_2002,NTL_2003,NTL_2004,NTL_2005,NTL_2006,NTL_2007,NTL_2008,NTL_2009,NTL_2010,NTL_2011,NTL_2012,NTL_2013,NTL_2014,NTL_2015,NTL_2016,NTL_2017,NTL_2018,NTL_2019,NTL_2020,NTL_2021,NTL_2022,date,location_name,magnitude,.geo
0,0.0011178243193483174,7.66508104695989E-4,4.1519189004366076E-4,5.168919849804488E-4,0.002427275664870632,0.0037047891726972805,0.0,0.0,0.0014052648586093132,0.0031937837695666213,4.7906756543499317E-4,6.387567539133242E-4,0.0034178496191256285,0.0035450999842189493,0.0017565810732616417,0.0038325405234799453,0.002459213502566298,0.0,0.0073003534073430194,0.0029382810680012913,0.004758737816654266,0.006004313486785247,0.0017246432355659755,0.009470883964199558,0.1094286759198723,0.06501053322411843,0.15022782324222905,0.09350835268390559,0.012675689418931744,0.1350128878568583,0.24163078356666734,2010-07-23,"61 km W of Bantogon, Philippines",7.6,"{""type"":""Point"",""coordinates"":[123.48,6.497]}"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.228846467690406E-4,2010-06-12,"Nicobar Islands, India region",7.5,"{""type"":""Point"",""coordinates"":[91.936,7.881000000000002]}"
2,0.0,0.0048076493161644,0.0022625121113794737,0.0029921231479649387,0.004355247651497562,0.00993306294189295,0.04395386964005726,0.00215570904577884,0.009058235001253793,0.01058572035456098,0.01221434115795933,0.017171741470585,0.029702713415006583,0.01844431007297746,0.01479071322155199,0.027645243038058518,0.016585458132883403,0.0183352515075237,0.017462816010696436,0.03319988407837074,0.05322545887848966,0.03838537442849966,0.03334623450552634,0.042139728888982333,0.039384763963335796,0.09066534909299882,0.09486391866241244,0.06828469112817911,0.11425031238007471,0.159190221171768,0.23498349527390117,2010-04-06,"75 km E of Sinabang, Indonesia",7.8,"{""type"":""Point"",""coordinates"":[97.048,2.383]}"
3,0.752190934623298,0.9323773039445826,0.9947774354174609,1.1335081010284342,1.3357869438838268,1.1382014954225297,1.3868992653219805,1.3055346395701386,1.4849626368376359,1.5223628624960872,1.5513564402618563,1.5236388988250409,1.5917249879009703,1.5488506967237754,1.5384010873800786,1.6702487731183555,1.5651392006770752,1.6567189315453918,1.6596505897579505,1.7739473947608562,2.047610552734908,1.9887987388704451,1.6322261080983582,1.6910247868936836,1.697771732251898,3.0789208919587585,2.10507342554559,2.219376019049717,2.3438332428642696,2.6359000582117735,3.0103138802959357,2010-02-27,"2010 Maule, Chile Earthquake",8.8,"{""type"":""Point"",""coordinates"":[-72.898,-36.122]}"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962255049150151E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10-07,"196 km NW of Sola, Vanuatu",7.8,"{""type"":""Point"",""coordinates"":[166.382,-12.517]}"
