system:index,NTL_Post_M0,NTL_Post_M1,NTL_Post_M10,NTL_Post_M11,NTL_Post_M12,NTL_Post_M13,NTL_Post_M14,NTL_Post_M15,NTL_Post_M16,NTL_Post_M17,NTL_Post_M18,NTL_Post_M19,NTL_Post_M2,NTL_Post_M20,NTL_Post_M21,NTL_Post_M22,NTL_Post_M23,NTL_Post_M3,NTL_Post_M4,NTL_Post_M5,NTL_Post_M6,NTL_Post_M7,NTL_Post_M8,NTL_Post_M9,NTL_Pre_M1,NTL_Pre_M10,NTL_Pre_M11,NTL_Pre_M12,NTL_Pre_M2,NTL_Pre_M3,NTL_Pre_M4,NTL_Pre_M5,NTL_Pre_M6,NTL_Pre_M7,NTL_Pre_M8,NTL_Pre_M9,date,location_name,magnitude,.geo
0,0.15483339389437062,0.1437115883537901,0.3030742091600373,0.15349067081551818,0.30231785455889687,0.15168738991203637,0.15856412405161976,0.23275203300713115,0.20749719681066864,0.23522705734075794,0.16767223084536417,0.09258195284206143,0.05445524956209824,0.12637609735474467,0.2613161157792637,0.13566407237059608,0.23291890693291745,0.17067565276368823,0.1894091385448709,0.08529515293885331,0.09551804998694424,-0.01585667059518352,0.24649211592911827,0.2141393388122753,0.131399110128824,0.2876497760724522,0.19938430031411578,0.161220847790164,0.19537887717546218,0.04032818550579282,0.039920570269563714,0.03495888600143369,0.1127077645890065,0.11311831635989149,0.18749445252971972,0.12262811529105998,2019-05-14,"48 km NE of Kokopo, Papua New Guinea",7.6,"{""type"":""Point"",""coordinates"":[152.5967,-4.051]}"
1,0.2099596030428214,0.2572141251178622,-0.03275006617254548,0.28268655729112807,0.32426891653053824,0.38444239746653946,0.1790522267645731,0.17460093444480543,0.16716293583535627,0.2749974193838684,0.21890513909443654,0.22071653237945862,0.11217625690774291,0.13412958096574873,0.21993649166622667,0.10122483573463764,0.07042091929726146,0.11450700670840444,0.12220452457682277,0.06951001436826794,0.19071621668108538,0.19108306572249315,0.09995999704370441,0.07746515436700276,0.09311282051598538,0.1644365349078268,0.44916772168632313,0.21028973346546623,0.04815101607030245,0.17516542584040726,0.20058448526706887,0.31409006056650796,0.14387417894024318,0.19454536890815663,0.16283181942180752,0.13463551683833458,2019-02-22,"115 km ESE of Palora, Ecuador",7.5,"{""type"":""Point"",""coordinates"":[-77.0505,-2.1862]}"
2,0.030880063353240984,0.06938799852067039,0.14570838667875077,0.06341745844164212,-0.011235984951982553,0.1804110176102195,0.2206600483119773,0.3293429820437934,0.22862774680295728,0.13365593311496304,0.1480610022662615,0.1576416196503392,0.0741426091468135,0.19583363135893592,0.1984067204390192,0.2133410182381731,0.15424898715154114,0.1464655396676531,0.09960304994310966,0.09598102742784465,0.0466591439388624,0.05285617506930894,0.11607596644074335,0.14282360619234916,0.06323816438541215,0.20543750807257669,0.16889342765767545,0.1176462226800757,0.18069934281632244,0.12732645409105556,0.10184870903635923,0.08433520409115453,0.0707342239556151,0.08853541984757353,0.1590257933833463,0.229486445660147,2018-12-05,"166 km ESE of Tadine, New Caledonia",7.5,"{""type"":""Point"",""coordinates"":[169.4266,-21.9496]}"
3,0.16387272809596265,0.12817011312416035,0.10092366344675498,0.17323142113606843,0.264370226817409,0.20601627857549035,0.18685093260497365,0.04837085199564848,0.4003002693084324,0.364729630076935,0.480767773636615,0.2146442299063215,0.18398808035250616,0.24008609114271265,0.23629146294338196,0.21862810935349686,0.23173077492010072,0.06868242376735391,0.20114500062667184,0.17854205188997227,0.32721988796337187,0.23487671121643605,0.19350543361709632,0.21453532440388587,0.17302137339077564,0.17963479881367048,0.05572833473769946,0.1939075012123512,0.27368507131033315,0.3222528643198131,0.231798572855376,0.28341339463899784,0.4049091135506382,0.3223335670143487,0.17931566925874004,0.02246593361236394,2018-09-28,"72 km N of Palu, Indonesia",7.5,"{""type"":""Point"",""coordinates"":[119.84619999999998,-0.2559]}"
4,0.17472274470166,0.20736594483245274,0.049703397363423184,0.10865366357918735,0.1484538718384215,0.17646909107546133,0.07117123728328115,-0.00834756066958651,0.18791866811917332,0.20701805135143803,0.28916412814788534,0.2007641646967598,0.08656343585135005,0.1187467986363761,0.12184958070540211,0.15082387398030725,0.19916697248438758,0.04557427134510106,0.0683163721579152,0.07323120535619043,0.12487463249951362,0.062451823009685166,0.10546617058269814,0.04805572315192428,0.0975964950595573,0.17399887912763118,0.16440568862803945,0.24725828549103424,0.0864342230050489,0.06362833188065807,0.060773614609854434,0.17223883254008987,0.1921968991024901,0.16012199876620356,0.16956890597550842,0.14398770671395533,2018-09-06,"45 km S of Levuka, Fiji",7.9,"{""type"":""Point"",""coordinates"":[179.35020000000003,-18.474300000000003]}"
