country_code,quarter,gdp_index
POL,2020-Q1,98.671933279
OECD,2020-Q1,97.638919643
PRT,2020-Q1,97.712964255
PRT,2020-Q2,82.481164318
OECD,2020-Q2,86.826342437
POL,2020-Q2,87.608151778
COL,2020-Q2,81.228137711
NZL,2020-Q2,87.901572112
CAN,2020-Q2,84.081329549
LTU,2020-Q2,90.30544355800001
GBR,2020-Q2,74.607695905
LVA,2020-Q2,82.726764891
NOR,2020-Q2,86.165706252
CHL,2020-Q2,81.872322418
IRL,2020-Q2,80.096341502
BEL,2020-Q2,83.130046086
AUT,2020-Q2,85.386729323
SVN,2020-Q2,86.747021977
CZE,2020-Q2,88.82164856200001
CHE,2020-Q2,90.672946452
SWE,2020-Q2,91.021356322
FIN,2020-Q2,90.452447529
LUX,2020-Q2,82.65353941800001
ESP,2020-Q2,73.892079078
DNK,2020-Q2,93.714515279
HUN,2020-Q2,91.696028582
ITA,2020-Q2,83.002521529
USMCA,2020-Q2,88.285665249
GRC,2020-Q2,86.613235233
DEU,2020-Q2,85.679305085
MEX,2020-Q2,78.418625311
CRI,2020-Q2,89.511631152
FRA,2020-Q2,85.036190637
USA,2020-Q2,89.805826068
USA,2020-Q3,97.794251637
FRA,2020-Q3,99.648846306
CRI,2020-Q3,88.896165615
MEX,2020-Q3,88.227030363
DEU,2020-Q3,95.565382669
GRC,2020-Q3,94.422723448
USMCA,2020-Q3,96.623571686
ITA,2020-Q3,93.256055596
HUN,2020-Q3,97.932655882
ESP,2020-Q3,89.235852365
LUX,2020-Q3,96.940711445
FIN,2020-Q3,97.837145841
DNK,2020-Q3,97.850925426
SWE,2020-Q3,96.7609841
CHE,2020-Q3,98.426803455
CZE,2020-Q3,94.33433428000001
SVN,2020-Q3,99.760476841
AUT,2020-Q3,95.63047652
BEL,2020-Q3,98.006766441
IRL,2020-Q3,91.423469878
CHL,2020-Q3,95.435261089
NOR,2020-Q3,94.330862829
LVA,2020-Q3,99.519591953
GBR,2020-Q3,89.378353416
LTU,2020-Q3,98.664723154
CAN,2020-Q3,94.667336979
NZL,2020-Q3,100.488233571
COL,2020-Q3,90.401896638
POL,2020-Q3,97.975905506
OECD,2020-Q3,96.188280817
