magnitude,longitude,latitude
7.2,63.951,28.777
7.0,168.471,-20.628
7.2,-73.326,-38.355
7.0,-63.136,-26.803
7.3,167.947,-19.702
7.4,143.698,26.901
7.8,100.082,-3.487
7.0,133.76,-4.963
7.0,171.83,-43.522
7.1,-77.306,-1.266
7.3,168.069,-17.541
7.0,150.765,-5.746
7.5,123.259,6.776
7.6,123.48,6.497
7.3,123.409,6.718
7.3,150.59,-5.931
7.0,136.543,-2.174
7.5,91.936,7.881
7.2,166.643,-13.698
7.2,96.018,3.748
7.8,97.048,2.383
7.2,-115.2953333,32.2861667
7.0,-71.799,-34.326
7.4,-75.048,-37.773
8.8,-72.898,-36.122
7.0,128.425,25.93
7.0,-72.571,18.443
7.1,157.354,-8.783
7.3,178.331,-17.239
7.4,166.497,-13.093
7.8,166.382,-12.517
7.7,166.51,-13.006
7.6,99.867,-0.72
8.1,-172.095,-15.489
7.0,107.297,-7.782
7.5,92.902,14.099
7.1,137.944,33.167
7.8,166.562,-45.762
7.3,-86.217,16.731
7.6,-174.66,-23.043
7.0,-176.33,-27.424
7.2,126.387,3.886
7.4,155.154,46.857
7.4,133.305,-0.691
7.7,132.885,-0.414
7.3,154.322,54.203
7.4,122.091,1.271
7.0,-177.683,-29.756
7.0,142.214,37.552
7.7,152.886,53.882
7.0,-22.099,-58.227
7.9,103.322,31.002
7.1,158.453,-55.664
7.3,168.892,-20.071
7.2,81.467,35.49
7.2,99.972,-2.486
7.4,95.964,2.768
7.2,-179.509,51.36
7.8,-177.514,-25.996
7.4,-61.274,14.944
7.7,-69.89,-22.247
7.2,145.388,18.9
7.4,164.115,-49.271
7.5,142.668,22.013
7.0,99.627,-2.13
7.9,100.841,-2.625
8.4,101.367,-4.438
7.2,165.762,-11.61
8.0,-76.603,-13.386
7.5,107.419,-5.859
7.2,167.68,-15.595
8.1,157.043,-8.466
7.1,169.357,-20.617
7.5,126.282,1.065
8.1,154.524,46.243
7.1,120.547,21.799
8.3,153.266,46.592
7.0,-34.371,-61.029
7.7,107.419,-9.284
7.4,-179.307,-31.81
8.0,-174.123,-20.187
7.6,167.089,60.949
7.0,33.583,-21.324
7.6,128.131,-5.473
7.2,-178.178,-19.926
7.4,-21.606,-60.957
7.0,144.896,38.107
7.6,73.588,34.539
7.5,-76.398,-5.678
7.6,153.474,-4.539
7.2,142.039,38.276
7.2,92.19,7.92
7.2,-125.953,41.292
7.8,-69.197,-19.987
8.6,97.108,2.085
7.1,129.933,-6.527
7.1,123.337,5.293
7.2,92.958,6.91
9.1,95.982,3.295
8.1,161.345,-49.312
7.0,145.119,43.006
7.1,135.404,-3.609
7.1,164.721,-46.676
7.2,-77.508,4.695
7.5,124.868,-8.152
7.0,-86.665,11.422
7.4,137.071,33.184
7.2,136.618,33.07
7.3,103.981,-2.427
7.1,-178.76,-17.656
7.3,135.023,-4.003
7.0,135.538,-3.615
7.1,169.683,-22.253
7.3,169.766,-22.015
7.8,178.65,51.146
7.0,142.619,37.812
7.3,87.813,50.038
7.4,143.593,41.774
8.16,143.91,41.815
7.2,167.144,-45.104
7.6,-43.411,-60.532
7.6,68.382,-2.598
7.1,-71.722,-7.606
7.0,128.855,2.354
7.0,141.568,38.849
7.1,177.978,51.272
7.6,-104.104,18.77
7.3,160.77,-10.491
7.3,146.209,47.824
7.9,-147.4529,63.5141
7.4,96.085,2.824
7.6,134.297,-1.757
7.6,142.945,-3.302
7.7,178.495,-23.884
7.7,-179.513,-21.696
7.3,130.666,43.752
7.1,144.619,13.088
7.1,122.179,24.279
7.5,124.249,6.033
7.4,70.482,36.502
7.2,167.856,-17.6
7.1,124.688,-42.813
7.8,90.541,35.946
7.0,150.196,-5.912
7.5,123.907,-4.102
7.0,144.98,12.686
7.1,-179.575,-36.813
7.6,-72.077,-17.543
8.4,-73.641,-16.265
7.2,-178.633,-29.666
7.1,126.249,1.271
7.4,102.562,-4.68
7.7,70.232,23.419
7.7,-88.66,13.049
7.1,167.17,-14.928
7.5,126.579,6.898
7.0,54.799,39.566
7.8,151.781,-5.496
7.8,153.102,-5.233
8.0,152.169,-3.98
7.0,153.945,-4.766
7.0,166.91,-15.421
7.4,139.556,28.856
7.9,97.453,-13.802
7.9,102.087,-4.721
7.2,-66.452,-23.548
7.6,123.573,-1.105
7.0,-62.99,-28.307
7.6,143.73,22.338
